reservar,tr. Guardar algo para lo futuro
omnipotencia,f. Cualidad de omnipotente
hamaca,f. Red alargada gruesa y poco tupida por lo común de pita lona u otro tejido resistente la cual asegurada por las extremidades en dos árboles u otros soportes queda pendiente en el aire y sirve de cama y columpio o bien se usa como medio de transporte conducida por dos personas
vuelo,m. Acción de volar
hambruna,f. hambre escasez generalizada de alimentos
gastronomía,f. Arte de preparar una buena comida
vaticinar,tr. Pronosticar adivinar profetizar
ulular,intr. Dar gritos o alaridos
altura,f. Distancia vertical de un cuerpo a la superficie de la tierra o a cualquier otra superficie tomada como referencia
rejilla,f. Entramado de metal madera u otro material que generalmente enmarcado en un hueco permite el paso del aire la luz la voz etc.
curiosidad,f. Cualidad de curioso
dimensión,f. Magnitud medible en un espacio
ocurrir,intr. Prevenir anticiparse o salir al encuentro
abismal,adj. Perteneciente o relativo al abismo
fraccionar,tr. Dividir algo en partes o fracciones U. t. c. prnl.
fusilar,tr. Ejecutar a alguien con una descarga de fusilería
institucional,adj. Perteneciente o relativo a una institución o a instituciones políticas religiosas sociales etc.
heredar,tr. Recibir algo a la muerte de su poseedor por disposición testamentaria o legal
suponer,tr. Considerar como cierto o real algo a partir de los indicios que se tienen
unipersonal,adj. Que consta de una sola persona
robar,tr. Quitar o tomar para sí con violencia o con fuerza lo ajeno
utilería,f. Conjunto de útiles
antorcha,f. Utensilio para alumbrar consistente en un leño resinoso un haz de mechas de esparto u otro objeto semejante que impregnado en alquitrán u otra materia combustible arde por un extremo mientras se puede agarrar con la mano por el otro
hospital,m. Establecimiento destinado al diagnóstico y tratamiento de enfermos donde a menudo se practican la investigación y la docencia
fractura,f. Acción y efecto de fracturar
nutria,f. Mamífero carnívoro de cuerpo alargado patas cortas con los dedos de los pies unidos por una membrana de piel muy apreciada que vive a orillas de los ríos y arroyos y se alimenta de peces
mejorar,tr. Adelantar acrecentar algo haciéndolo pasar a un estado mejor
nácar,m. Capa interna de las tres que forman la concha de los moluscos constituida por la mezcla de carbonato de calcio y una sustancia orgánica y dispuesta en láminas paralelas entre sí Cuando estas son lo bastante delgadas para que la luz se difracte al atravesarlas producen reflejos irisados característicos
encuesta,f. Conjunto de preguntas tipificadas dirigidas a una muestra representativa de grupos sociales para averiguar estados de opinión o conocer otras cuestiones que les afectan
ostentar,tr. Mostrar o hacer patente algo
bicarbonato,m. Quím. Sal ácida del ácido carbónico
vacilación,f. Acción y efecto de vacilar
mapa,m. Representación geográfica de la Tierra o parte de ella en una superficie plana
habitación,f. Acción y efecto de habitar
letal,adj. mortífero.
licuar,tr. Hacer líquida una sustancia sólida o gaseosa U. t. c. prnl.
kilográmetro,m. Mec. p. us. Unidad de trabajo mecánico o esfuerzo equivalente al capaz de levantar kilogramo a metro de altura
fanatizar,tr. Provocar o causar fanatismo
federación,f. Acción de federar o federarse
increíble,adj. Que no puede creerse
nihilista,adj. Que profesa el nihilismo U. t. c. s.
fundar,tr. Edificar materialmente una ciudad un colegio un hospital etc.
jazmín,m. Arbusto de la familia de las oleáceas con tallos verdes delgados flexibles algo trepadores y de cuatro a seis metros de longitud hojas alternas y compuestas de hojuelas estrechas en número impar duras enteras y lanceoladas flores en el extremo de los tallos pedunculadas blancas olorosas de cinco pétalos soldados por la parte inferior a manera de embudo y fruto en baya negra y esférica Es originario de y se cultiva en los jardines por el excelente olor de sus flores que utiliza la perfumería
gratificación,f. Recompensa pecuniaria de un servicio eventual
tabla,f. Pieza de madera plana de poco grueso y cuyas dos caras son paralelas entre sí
masajear,tr. Dar masaje
enviar,tr. Encomendar a alguien que vaya a alguna parte
instruir,tr. Enseñar doctrinar
generosidad,f. Cualidad de generoso
hacker,m. y f. Inform. jáquer.
estándar,adj. Que sirve como tipo modelo norma patrón o referencia
nominalizar,"tr. Gram. Convertir en nombre una palabra o un grupo de palabras p. ej.,  de  U. t. c. prnl."
salsa,f. Composición o mezcla de varias sustancias comestibles desleídas que se hace para aderezar o condimentar la comida
restaurante,m. Establecimiento público donde se sirven comidas y bebidas mediante precio para ser consumidas en el mismo local
sutil,adj. Delgado delicado tenue
vigente,adj. Dicho de una ley de una ordenanza de un estilo o de una costumbre Que está en vigor y observancia
guiso,m. Comida guisada
hebra,f. Porción de hilo estambre seda u otra materia hilada que para coser algo suele meterse por el ojo de una aguja
angustia,f. Aflicción congoja ansiedad
joya,f. Adorno de oro plata o platino con perlas o piedras preciosas o sin ellas
intimidad,f. Amistad íntima
monopolio,m. Concesión otorgada por la autoridad competente a una empresa para que esta aproveche con carácter exclusivo alguna industria o comercio
producto,m. Cosa producida
revisar,tr. Ver con atención y cuidado
whisky,m. güisqui.
ventaja,f. Superioridad o mejoría de alguien o algo respecto de otra persona o cosa
machista,adj. Perteneciente o relativo al machismo
estaca,f. Palo afilado en un extremo para clavarlo
